DATE,MAPAINUSA646N
1974-01-01,7255
1975-01-01,7704
1976-01-01,8242
1977-01-01,8886
1978-01-01,9451
1979-01-01,10120
1980-01-01,11000
1981-01-01,11910
1982-01-01,12710
1983-01-01,13360
1984-01-01,14410
1985-01-01,15320
1986-01-01,16170
1987-01-01,17040
1988-01-01,18050
1989-01-01,19350
1990-01-01,19840
1991-01-01,20280
1992-01-01,20760
1993-01-01,22200
1994-01-01,23280
1995-01-01,24210
1996-01-01,25470
1997-01-01,27020
1998-01-01,28240
1999-01-01,29680
2000-01-01,31200
2001-01-01,32100
2002-01-01,32220
2003-01-01,32980
2004-01-01,33860
2005-01-01,35500
2006-01-01,37520
2007-01-01,38170
2008-01-01,38380
2009-01-01,38210
2010-01-01,38330
2011-01-01,39660
2012-01-01,40560
2013-01-01,42390
2014-01-01,42790
2015-01-01,44510
2016-01-01,46550
2017-01-01,48990
2018-01-01,50410
2019-01-01,54130
2020-01-01,54040
2021-01-01,57140
2022-01-01,59430
2023-01-01,63510
